1	的	931244
2	。	798716
3	1	422366
4	i	372739
5	0	334920
6	t	310358
7	、	307072
8	a	298553
9	在	294783
10	年	288708
11	一	277154
12	2	276281
13	n	269572
14	o	239903
15	人	233942
16	有	225253
17	是	222289
18	中	219292
19	9	196588
20	e	190481
21	大	163937
22	為	162822
23	c	159463
24	以	157513
25	不	149217
26	和	148570
27	了	147766
28	3	133416
29	r	129535
30	5	128828
31	8	120932
32	他	120889
33	4	119651
34	成	119620
35	上	119145
36	为	115707
37	地	114998
38	月	114445
39	日	114394
40	6	111984
41	之	111331
42	出	110158
43	7	105840
44	而	103268
45	其	100126
46	行	97852
47	於	96816
48	到	95155
49	作	94750
50	用	92901
51	生	92872
52	s	91648
53	部	89134
54	公	88505
55	方	88479
56	》	87883
57	分	86652
58	l	86502
59	後	86448
60	国	83783
61	時	83487
62	被	83129
63	名	82280
64	可	80603
65	國	80231
66	「	80071
67	第	79462
68	主	78269
69	」	77766
70	同	77069
71	m	76209
72	《	75782
73	下	75411
74	自	75075
75	多	73893
76	會	73307
77	家	72242
78	及	72216
79	也	72130
80	“	71688
81	”	71338
82	于	70852
83	法	70599
84	此	69991
85	因	69526
86	由	68324
87	本	67974
88	能	67692
89	所	67611
90	子	66203
91	最	65643
92	要	64653
93	斯	63981
94	但	63307
95	得	62530
96	與	62046
97	前	61989
98	民	61667
99	面	60637
100	高	60501
101	個	59580
102	文	59265
103	个	59204
104	.	58871
105	事	58676
106	后	58166
107	三	58105
108	时	56254
109	政	55755
110	者	55590
111	u	55362
112	使	54700
113	位	54611
114	至	54595
115	等	54589
116	外	54546
117	新	54492
118	d	54143
119	定	53665
120	度	53028
121	建	52699
122	特	52577
123	学	52528
124	任	52438
125	h	52383
126	平	52273
127	西	52173
128	工	51056
129	學	51028
130	十	50986
131	道	50498
132	加	49902
133	發	49652
134	代	49637
135	性	49604
136	小	49567
137	入	49528
138	力	48753
139	並	48737
140	二	48601
141	会	48117
142	物	48010
143	表	47506
144	理	47496
145	·	47278
146	來	47085
147	通	46941
148	S	46872
149	全	46586
150	重	46492
151	期	46308
152	次	46153
153	市	46015
154	南	45790
155	里	45749
156	合	45318
157	立	45063
158	對	45035
159	海	44903
160	都	44711
161	A	44682
162	-	44577
163	相	44409
164	路	43689
165	教	43531
166	这	43522
167	天	43445
168	這	43327
169	世	42985
170	式	42245
171	利	42234
172	化	42022
173	德	41331
174	C	41203
175	北	41112
176	美	40694
177	发	39840
178	口	39441
179	克	38308
180	原	38284
181	然	38159
182	開	38061
183	或	37977
184	山	37935
185	過	37877
186	常	37724
187	,	37629
188	動	37495
189	如	37435
190	當	37315
191	就	37229
192	对	36994
193	正	36748
194	制	36570
195	台	36228
196	軍	36115
197	起	36053
198	明	35530
199	M	35415
200	長	35124
201	p	34745
202	比	34696
203	士	34654
204	目	34623
205	量	34602
206	提	34553
207	心	34418
208	安	34230
209	現	34223
210	水	34196
211	g	34195
212	与	33968
213	来	33686
214	米	33647
215	間	33579
216	共	33556
217	并	33348
218	区	33338
219	四	33274
220	向	33176
221	受	33033
222	军	32977
223	王	32843
224	站	32768
225	系	32716
226	意	32628
227	球	32608
228	進	32429
229	將	32155
230	些	31983
231	經	31961
232	影	31939
233	女	31814
234	已	31600
235	色	31595
236	基	31561
237	改	31124
238	區	31048
239	y	30959
240	手	30931
241	T	30925
242	长	30797
243	拉	30741
244	接	30583
245	院	30234
246	科	30197
247	P	30194
248	員	30192
249	城	30135
250	金	29963
251	司	29778
252	體	29674
253	身	29658
254	始	29471
255	B	29345
256	开	29305
257	府	29250
258	D	29200
259	格	29030
260	機	28927
261	車	28911
262	程	28771
263	英	28671
264	更	28642
265	內	28525
266	列	28368
267	直	27933
268	電	27877
269	保	27773
270	动	27719
271	尔	27709
272	元	27665
273	过	27520
274	戰	27511
275	演	27375
276	形	27312
277	治	27134
278	型	27097
279	进	26879
280	布	26862
281	各	26830
282	場	26826
283	情	26762
284	交	26639
285	首	26467
286	州	26250
287	史	26190
288	机	26067
289	兩	26009
